nr;Artikelid;Varnummer;Namn;Prisinklmoms;Volymiml;PrisPerLiter;Varugrupp;Forpackning;Ursprunglandnamn;Producent;Argang;Alkoholhalt;Ekologisk;Koscher;RavarorBeskrivning
7107901;534804;71079;Rabarber;179.0000;700.0000;255.7100;Fruktvin;Flaska;Sverige;Jamtlands Vingard HB;;10.5%;0;0;
7241704;509151;72417;Framboise Reserva;229.0000;200.0000;1145.0000;Fruktvin;Flaska;Sverige;Blaxsta Vingard;2006;13%;0;0;
7246102;505001;72461;Apple Ice Wine;349.0000;375.0000;930.6700;Fruktvin;Flaska;Sverige;Blaxsta Vingard;2006;12%;0;0;
7252102;520736;72521;Vino e Visciole;168.0000;375.0000;448.0000;Fruktvin;Flaska;Italien;SIGI;;12.5%;0;0;
7272201;527871;72722;Choya;388.0000;700.0000;554.2900;Fruktvin;Flaska;Japan;Choya Umeshu;;15%;0;0;
9034901;555073;90349;Kiviks Sommarvin;60.0000;750.0000;80.0000;Fruktvin;Flaska;Sverige;Kiviks Musteri AB;;8.5%;0;0;Applen, rabarber, fladerbar och krusbar.
9040501;579586;90405;Kiviks Paronvin;63.0000;750.0000;84.0000;Fruktvin;Flaska;Sverige;Kiviks Musteri AB;2011;10%;0;0;Paron.
9040801;579988;90408;Kiviks Hostvin;70.0000;750.0000;93.3300;Fruktvin;Flaska;Sverige;Kiviks Musteri AB;2011;10%;0;0;
1209501;35322;12095;Grythyttan Hjortron;173.0000;750.0000;230.6700;Fruktvin, Sott;Flaska;Sverige;Grythyttan Vin;2010;13.5%;0;0;Svenska hjortron
219301;564626;2193;Kirsberry;71.0000;700.0000;101.4300;Fruktvin, Sott;Flaska;Danmark;Danish Distillers;;14.8%;0;0;
237001;1691;2370;Solbacka Korsbarsvin;61.0000;750.0000;81.3300;Fruktvin, Sott;Flaska;Finland;Pernod Ricard;;13%;0;0;
237002;1692;2370;Solbacka Korsbarsvin;35.0000;375.0000;93.3300;Fruktvin, Sott;Flaska;Finland;Pernod Ricard;;13%;0;0;
296901;2260;2969;Aurora;61.0000;750.0000;81.3300;Fruktvin, Sott;Flaska;Finland;Pernod Ricard;;13%;0;0;
374001;40523;3740;Lakka;89.0000;750.0000;118.6700;Fruktvin, Sott;Flaska;Finland;Lignell & Piispanen;2008;15%;0;0;Hjortron.
7028501;584567;70285;Choya;447.0000;700.0000;638.5700;Fruktvin, Sott;Flaska;Japan;Choya Umeshu;;15%;0;0;
7086601;584555;70866;Choya;149.0000;750.0000;198.6700;Fruktvin, Sott;Flaska;Tyskland;Choya Umeshu;;10%;0;0;
7156501;570870;71565;Choya Original;149.0000;750.0000;198.6700;Fruktvin, Sott;Flaska;Japan;Choya Umeshu;;10%;0;0;
1123401;543793;11234;Kiviks Appelvin;64.0000;750.0000;85.3300;Fruktvin, Torrt;Flaska;Sverige;Kiviks Musteri AB;;10%;0;0;Applen.
3290001;49347;32900;Grythyttan Jakt;103.0000;750.0000;137.3300;Fruktvin, Torrt;Flaska;Sverige;Grythyttan Vin;2010;14%;0;0;Blabar och lingon.
7247209;504191;72472;Bjorkvin;720.0000;4500.0000;160.0000;Fruktvin, Torrt;6 fl à 750 ml;Danmark;Naturprodukter Bjork AB;;13%;1;0;